l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,0.18059106,-0.013424956,-0.0077879303,0.36690912,-0.10163713,-0.043295696,0.5074421,-0.10425374,-0.09684219,0.61854357,-0.10032889,-0.14837192,0.28210476,-0.57817185,0.005933156,0.38535506,-0.7325577,-0.058180396,0.49117464,-0.78118294,-0.10180215,0.5854069,-0.80011606,-0.1308165,0.21735838,-0.62586766,-0.03184165,0.38498098,-0.46845555,-0.12185748,0.31644884,-0.30206278,-0.14652905,0.2361915,-0.29711595,-0.14663693,0.15657145,-0.6124525,-0.075666316,0.3117749,-0.42370346,-0.16221696,0.23781796,-0.28481883,-0.14850862,0.16673252,-0.3113352,-0.12139969,0.09700267,-0.565058,-0.12220783,0.22692207,-0.39398226,-0.16695198,0.17879155,-0.28752673,-0.14390734,0.11535156,-0.31033263,-0.11436161,C
0.0,0.0,0.0,0.19268386,-0.00062636903,-0.015460453,0.40083408,-0.07417141,-0.05520011,0.55328214,-0.05707484,-0.11246958,0.6752681,-0.027408034,-0.16858324,0.33949763,-0.5669069,-0.0006925755,0.4385927,-0.7219517,-0.06537581,0.5370949,-0.76377994,-0.10742927,0.625887,-0.768211,-0.13460056,0.263541,-0.62891084,-0.035995126,0.40905312,-0.45776382,-0.12198331,0.3317115,-0.2884002,-0.14345558,0.2575585,-0.28964958,-0.1412166,0.18381639,-0.62394047,-0.078090705,0.318908,-0.4169233,-0.16578604,0.24371202,-0.2765521,-0.15083338,0.1804048,-0.30717862,-0.12186679,0.10105945,-0.58474064,-0.12340278,0.22032653,-0.40428945,-0.17023154,0.17406765,-0.29580832,-0.1448701,0.115824886,-0.32222492,-0.11250851,C
0.0,0.0,0.0,0.20314877,0.022157125,-0.037866306,0.4306867,-0.021671984,-0.088682316,0.600777,0.023346545,-0.15341884,0.7262306,0.09349088,-0.21726422,0.41051167,-0.55364776,-0.021254035,0.49834964,-0.69510007,-0.09003402,0.5823446,-0.7372569,-0.13006254,0.6572052,-0.7375105,-0.155433,0.3143088,-0.64572585,-0.049009863,0.42746797,-0.49571157,-0.13140498,0.3450319,-0.31576997,-0.14400816,0.28423572,-0.30655378,-0.13495794,0.20499867,-0.6521636,-0.086632304,0.2941404,-0.41905168,-0.17478755,0.22463149,-0.27637634,-0.1614903,0.1771839,-0.3064399,-0.13277559,0.092240684,-0.6129176,-0.12988044,0.17138419,-0.39816934,-0.17473732,0.12979715,-0.29546487,-0.15455905,0.080276154,-0.33739057,-0.12703323,C
0.0,0.0,0.0,0.20301947,-0.01769885,0.0031806717,0.39716378,-0.11244109,-0.025487166,0.53933346,-0.10136303,-0.07391393,0.6455422,-0.076084055,-0.12078427,0.31418255,-0.6072784,0.010504995,0.43356046,-0.7370875,-0.05678822,0.54808724,-0.7580065,-0.10504944,0.64886737,-0.74849886,-0.1368236,0.24491388,-0.6530377,-0.03347397,0.43041345,-0.46390784,-0.12088019,0.3563743,-0.3143939,-0.14467527,0.27087024,-0.32211712,-0.14604692,0.18183559,-0.627017,-0.0834102,0.34893587,-0.39753884,-0.16470046,0.27211025,-0.27131805,-0.1547181,0.20033218,-0.30847096,-0.13266093,0.12454299,-0.56203854,-0.13607946,0.26525825,-0.3601646,-0.17794535,0.21165024,-0.2608639,-0.15948069,0.14503951,-0.29173702,-0.1354155,C
0.0,0.0,0.0,0.1931168,-0.050104585,0.0010258511,0.33889437,-0.16242744,-0.03380618,0.45911545,-0.20224427,-0.088695474,0.5587595,-0.22973897,-0.14002372,0.19997977,-0.62533706,0.0067959167,0.3685202,-0.7441856,-0.06287058,0.49347666,-0.7772623,-0.11564231,0.6011125,-0.7849035,-0.15030049,0.16194744,-0.64852583,-0.037831806,0.4237744,-0.4836718,-0.13981694,0.36811483,-0.33166617,-0.17626162,0.28296787,-0.30875328,-0.1811475,0.15467858,-0.5999971,-0.08671381,0.3833706,-0.3984374,-0.1678455,0.3115871,-0.26574844,-0.16037633,0.23393793,-0.26929694,-0.13731222,0.16712953,-0.5147746,-0.1389108,0.3395115,-0.3396299,-0.1705763,0.28898028,-0.24192706,-0.15000223,0.22615667,-0.24918593,-0.12440034,C
0.0,0.0,0.0,0.18399012,0.0027043289,-0.031673685,0.38506067,-0.055354036,-0.0805502,0.54298884,-0.03831258,-0.14327204,0.66280216,-0.022058079,-0.20306842,0.3092258,-0.5447324,-0.013555996,0.4120287,-0.70092446,-0.07769644,0.5152325,-0.7613669,-0.1135261,0.6036586,-0.7856943,-0.135206,0.23771288,-0.59964913,-0.041275375,0.40767103,-0.48581016,-0.12733974,0.3467907,-0.30638587,-0.13920198,0.2791603,-0.30486232,-0.12769574,0.1700827,-0.6017872,-0.077999644,0.3233352,-0.44734436,-0.17049977,0.25367248,-0.29539147,-0.15148096,0.18732907,-0.32063934,-0.1160641,0.1040096,-0.5750014,-0.11847899,0.23854463,-0.4401025,-0.16903919,0.19586886,-0.32866,-0.14356017,0.13273954,-0.3461783,-0.10972144,C
0.0,0.0,0.0,0.22768345,-0.04092834,0.0012356346,0.45412114,-0.14939073,-0.03292811,0.6096407,-0.18229209,-0.08817131,0.730326,-0.2474833,-0.13938573,0.32324773,-0.70548123,0.017370634,0.47993493,-0.82739544,-0.061746445,0.59893626,-0.77613187,-0.11734478,0.69094336,-0.7073471,-0.14918901,0.23889735,-0.76917386,-0.026928166,0.46124426,-0.57550246,-0.11768585,0.3872078,-0.36651528,-0.1466609,0.29611805,-0.33976912,-0.15016386,0.16412361,-0.74616224,-0.07839736,0.36907184,-0.5018914,-0.16276583,0.28622398,-0.33257186,-0.14961953,0.2044819,-0.34559885,-0.12355363,0.09612942,-0.67777646,-0.13247846,0.26655143,-0.46281934,-0.16891482,0.2163629,-0.34049633,-0.14172818,0.14138977,-0.3561254,-0.10956517,C
0.0,0.0,0.0,0.24106482,-0.03636876,0.004968136,0.4711778,-0.13878986,-0.028190922,0.6212274,-0.17092893,-0.084872216,0.7261886,-0.2503959,-0.1360839,0.3497435,-0.7125544,0.024125785,0.5073566,-0.8487245,-0.058922175,0.6205086,-0.77538776,-0.117230415,0.69912136,-0.67668784,-0.14797874,0.26322293,-0.7764076,-0.022623463,0.47969538,-0.56005853,-0.11236555,0.40204176,-0.35042337,-0.14254756,0.31035045,-0.32448885,-0.14701073,0.18522088,-0.7529325,-0.0770351,0.38813677,-0.49388388,-0.1593789,0.30056757,-0.32292768,-0.14500447,0.21538335,-0.33310297,-0.11803968,0.11401458,-0.6848988,-0.13439932,0.28402397,-0.46472344,-0.16957164,0.23163263,-0.34367198,-0.14044163,0.15567268,-0.3609331,-0.105743,C
0.0,0.0,0.0,0.2235117,-0.035098553,0.0014607526,0.4518995,-0.1418047,-0.032584578,0.6136113,-0.16350354,-0.08774332,0.73905903,-0.20034961,-0.14006044,0.32531258,-0.6937949,0.016341565,0.48358995,-0.80798084,-0.057852857,0.6015394,-0.76448035,-0.11277821,0.69545335,-0.70350623,-0.14636786,0.24296087,-0.75439453,-0.028576627,0.4570869,-0.5511089,-0.11463677,0.38179564,-0.3570923,-0.14335454,0.2926614,-0.340326,-0.14911161,0.17119777,-0.7290423,-0.079947434,0.36962783,-0.4844873,-0.15798497,0.28560036,-0.32242447,-0.14374839,0.20559753,-0.33631787,-0.11924112,0.10685528,-0.65858436,-0.13467719,0.2726869,-0.44635504,-0.16782357,0.2209382,-0.3286991,-0.1404443,0.14800519,-0.34503046,-0.10937034,C
0.0,0.0,0.0,0.20745812,-0.021911815,-0.006025159,0.42511716,-0.1188796,-0.041757323,0.58265746,-0.13050854,-0.095542885,0.7074847,-0.13955821,-0.14704083,0.31741354,-0.63746494,0.004490717,0.4514388,-0.75700396,-0.06579315,0.5624004,-0.7550623,-0.11938722,0.6583125,-0.73657703,-0.15517354,0.2374887,-0.69653815,-0.037103537,0.4269117,-0.49992332,-0.12553225,0.35588157,-0.32884437,-0.157563,0.26870206,-0.3186301,-0.16637965,0.16412328,-0.672381,-0.08486409,0.33916485,-0.43430898,-0.16593765,0.2622881,-0.29106244,-0.15803851,0.18902344,-0.3154301,-0.13870347,0.09911479,-0.60322857,-0.13607197,0.24867211,-0.3944114,-0.17446199,0.19854774,-0.2859487,-0.15446341,0.13088724,-0.3090801,-0.12987189,C
