l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.14967096,-0.09289827,-0.03590893,-0.25826627,-0.26311812,-0.05817057,-0.22960168,-0.390652,-0.092025325,-0.116521865,-0.3959098,-0.1236939,-0.16022277,-0.5388815,0.0014463415,-0.17388779,-0.7344671,-0.044633865,-0.16957878,-0.8562124,-0.07750973,-0.16154492,-0.9595774,-0.10106622,-0.06437743,-0.53598887,-0.026491774,-0.09977292,-0.75854576,-0.08760521,-0.12719838,-0.879796,-0.12497399,-0.1522682,-0.97850865,-0.13905111,0.03467692,-0.4854549,-0.063284375,-0.034539934,-0.5580212,-0.15562554,-0.061002776,-0.38940734,-0.1637988,-0.067679174,-0.2625785,-0.13682744,0.12706357,-0.39326522,-0.103875585,0.051184636,-0.43251425,-0.16672531,0.010183693,-0.31163132,-0.15983757,-0.002243715,-0.2185298,-0.13667281,R
0.0,0.0,0.0,-0.14762375,-0.09616482,-0.039799266,-0.25316614,-0.26376703,-0.06943782,-0.23199818,-0.3930343,-0.11094025,-0.12025618,-0.39091256,-0.14903852,-0.14123335,-0.5321248,-0.006740848,-0.15347773,-0.73330814,-0.057729915,-0.1511776,-0.85930806,-0.09361802,-0.14616083,-0.96147275,-0.12035807,-0.044064585,-0.5226406,-0.038968474,-0.07195079,-0.7489479,-0.11296777,-0.103911564,-0.87802976,-0.16013151,-0.13473666,-0.97453815,-0.17922449,0.050810706,-0.46524027,-0.07974952,-0.030824447,-0.53268874,-0.17827806,-0.063778296,-0.37225735,-0.186501,-0.07096359,-0.2526931,-0.15842187,0.13573101,-0.37308958,-0.12514618,0.045493133,-0.4017394,-0.18929079,0.003331789,-0.29178062,-0.18285392,-0.0045956327,-0.20730115,-0.15962628,R
0.0,0.0,0.0,-0.14808732,-0.09698282,-0.038926657,-0.25113514,-0.26714814,-0.06056282,-0.21327254,-0.39050114,-0.09206249,-0.10575188,-0.4028513,-0.121737294,-0.15713969,-0.53316873,-5.996753e-05,-0.16656108,-0.72155786,-0.045306712,-0.16076109,-0.8393825,-0.078115195,-0.15237698,-0.9407738,-0.10148911,-0.06404075,-0.5352498,-0.024956767,-0.10519157,-0.7573436,-0.08334902,-0.13567755,-0.87813556,-0.12024872,-0.16216728,-0.97757083,-0.13437657,0.033836186,-0.48788467,-0.05906622,-0.028795088,-0.5643175,-0.15118119,-0.05054483,-0.39830208,-0.16211392,-0.054248672,-0.2725205,-0.13718665,0.12646231,-0.39935502,-0.09672468,0.055487834,-0.4428814,-0.16290666,0.021742294,-0.32195574,-0.15838295,0.016653722,-0.22896877,-0.1363061,R
0.0,0.0,0.0,-0.13939954,-0.11224507,-0.035868093,-0.2340915,-0.28289625,-0.0604103,-0.19709685,-0.40542698,-0.09564742,-0.09232055,-0.41237664,-0.12901388,-0.1265554,-0.53742737,-0.00789334,-0.12776054,-0.7296548,-0.056260046,-0.117993966,-0.84667933,-0.08947173,-0.104250096,-0.94724953,-0.112749286,-0.03446591,-0.5293382,-0.03444987,-0.057770666,-0.7537812,-0.09386616,-0.07452239,-0.87837,-0.12975724,-0.087170966,-0.9857158,-0.14410259,0.058345743,-0.47349292,-0.0692753,-0.009084774,-0.5543777,-0.15855592,-0.048586797,-0.39973044,-0.16718057,-0.061622635,-0.2802869,-0.14282261,0.14152978,-0.37822238,-0.107601225,0.063043706,-0.4200482,-0.169165,0.016769843,-0.31357604,-0.163604,0.0041837445,-0.22734591,-0.14226335,R
0.0,0.0,0.0,-0.13739036,-0.10358206,-0.042391066,-0.22805896,-0.28587145,-0.061406597,-0.16089888,-0.41030395,-0.090212315,-0.0462489,-0.42610666,-0.11767066,-0.14206135,-0.53927046,0.0021827011,-0.1380873,-0.7286856,-0.046770964,-0.12328907,-0.8485388,-0.08247464,-0.110424876,-0.9488,-0.10700885,-0.049793273,-0.5481295,-0.019953314,-0.08534943,-0.77557343,-0.08186386,-0.108062245,-0.8895521,-0.11953275,-0.12689953,-0.9829601,-0.13298851,0.04517397,-0.50180477,-0.05247352,0.015043195,-0.59079915,-0.14740734,-0.00014887613,-0.41749987,-0.15739676,-0.007357724,-0.2902415,-0.131314,0.13713382,-0.40977284,-0.08916778,0.102766715,-0.46507892,-0.15681563,0.06560779,-0.34579548,-0.15172552,0.044568833,-0.2546438,-0.1290604,R
0.0,0.0,0.0,-0.13711277,-0.10062757,-0.054784495,-0.22267193,-0.276004,-0.08268227,-0.14491454,-0.39229104,-0.11685306,-0.029724564,-0.42856032,-0.14864977,-0.14434636,-0.51714236,-0.020027533,-0.13740048,-0.6976919,-0.07833687,-0.11965252,-0.8183921,-0.12082764,-0.10518078,-0.9238631,-0.14991483,-0.050283547,-0.5322352,-0.038865797,-0.09188069,-0.7570011,-0.10716079,-0.11783421,-0.87398446,-0.144606,-0.14030765,-0.9773575,-0.1583859,0.046566427,-0.4898999,-0.06904075,0.024773294,-0.5954714,-0.1720433,0.0114909755,-0.4158482,-0.17767894,0.0022961672,-0.28636745,-0.14810416,0.14318104,-0.4016859,-0.10427342,0.122819245,-0.47600254,-0.18146187,0.08303504,-0.34821403,-0.17498542,0.055482578,-0.251005,-0.15029675,R
0.0,0.0,0.0,-0.14535703,-0.10230595,-0.03493057,-0.25126007,-0.28220472,-0.05301361,-0.21174856,-0.40603036,-0.08206363,-0.09735296,-0.40867904,-0.10986193,-0.15045135,-0.5457793,0.0052958447,-0.15881696,-0.73896354,-0.036674477,-0.1542975,-0.8567122,-0.06647466,-0.14784668,-0.95778537,-0.0881602,-0.056187347,-0.54319006,-0.020968834,-0.08915776,-0.7666987,-0.07704485,-0.11570432,-0.88389754,-0.11301314,-0.14094943,-0.9819548,-0.12608707,0.041663345,-0.49205312,-0.05606534,-0.024629368,-0.56417376,-0.14681536,-0.05003449,-0.39259124,-0.15859514,-0.055186745,-0.26654315,-0.13386223,0.13165832,-0.39932784,-0.09436751,0.05770349,-0.44095296,-0.15884063,0.02192351,-0.3205067,-0.15501168,0.01659644,-0.22928767,-0.13356708,R
0.0,0.0,0.0,-0.14281826,-0.1180348,-0.024050038,-0.25017944,-0.27907148,-0.04668701,-0.24505089,-0.4124171,-0.08254097,-0.13988173,-0.42223114,-0.11462289,-0.15164252,-0.5502774,0.00920112,-0.17181984,-0.7570819,-0.027833257,-0.17341578,-0.86919093,-0.050629668,-0.17081873,-0.9651177,-0.06617579,-0.05845981,-0.5491218,-0.020670982,-0.08782384,-0.7720019,-0.06647963,-0.1140351,-0.88819945,-0.09291945,-0.13963555,-0.9850018,-0.10135759,0.03557447,-0.49918178,-0.058118094,-0.060517143,-0.5517252,-0.13115919,-0.09922787,-0.39685908,-0.13633823,-0.10692018,-0.27807915,-0.1126802,0.1182335,-0.4075368,-0.098971635,0.021504236,-0.4239347,-0.14211462,-0.025985852,-0.31503382,-0.13269493,-0.035487637,-0.22735023,-0.11185905,R
0.0,0.0,0.0,-0.13354847,-0.12447474,-0.021762861,-0.21929474,-0.28304163,-0.048413724,-0.24553625,-0.41218242,-0.08712885,-0.1857244,-0.45029926,-0.1212397,-0.11969678,-0.54020685,-0.009417867,-0.15755199,-0.74275714,-0.058728475,-0.17266451,-0.8634084,-0.088132665,-0.17380482,-0.96589303,-0.10742083,-0.031819887,-0.5382966,-0.043766063,-0.07091188,-0.7523904,-0.101623215,-0.10307338,-0.8769193,-0.13320717,-0.12489382,-0.98144555,-0.14548586,0.047283046,-0.48239207,-0.08431444,-0.09959451,-0.52656806,-0.15779114,-0.14568862,-0.40082902,-0.15496129,-0.14212763,-0.31352,-0.130274,0.10031362,-0.38128442,-0.12888327,-0.041317873,-0.38536534,-0.17083769,-0.087516144,-0.29536924,-0.15711401,-0.0830434,-0.23428117,-0.13548651,R
0.0,0.0,0.0,-0.1353093,-0.10057622,-0.029053152,-0.23857841,-0.2651441,-0.04869579,-0.22236094,-0.39524704,-0.081270315,-0.12387767,-0.42337996,-0.1106294,-0.1410574,-0.53185606,0.017428895,-0.16190472,-0.73070204,-0.021414638,-0.16495174,-0.84481734,-0.047720697,-0.16229269,-0.9414823,-0.065601714,-0.051891144,-0.5348863,-0.011576174,-0.09468341,-0.7638551,-0.06325583,-0.12986262,-0.8851309,-0.09523771,-0.16001184,-0.9814767,-0.10535459,0.04206326,-0.49150908,-0.049706146,-0.04551297,-0.5618483,-0.13304722,-0.07523617,-0.39588147,-0.13923611,-0.078057736,-0.27432913,-0.11245885,0.12787427,-0.4067248,-0.09139764,0.035249323,-0.4383359,-0.14558029,-0.0041867937,-0.32054302,-0.13678403,-0.007212148,-0.23251693,-0.11356838,R
