l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,0.09736768,-0.2672124,-0.016468639,0.14400804,-0.55178636,-0.03582667,0.15402706,-0.7932605,-0.05119057,0.20990217,-0.9575508,-0.06341608,-0.090293355,-0.66077477,-0.05269167,-0.18444064,-0.7205321,-0.041266765,-0.15958597,-0.6182189,-0.02887242,-0.122288644,-0.534332,-0.023498444,-0.21733299,-0.59050864,-0.052305944,-0.29688084,-0.6687658,-0.035490315,-0.27697206,-0.5710994,-0.02871921,-0.24198492,-0.4966384,-0.036118895,-0.31788075,-0.49006814,-0.044985667,-0.402339,-0.6409538,-0.045462996,-0.37738857,-0.5532931,-0.033816688,-0.3343076,-0.46667308,-0.032722797,-0.3977508,-0.37964094,-0.035607446,-0.5119804,-0.56880254,-0.046838768,-0.5884468,-0.66850126,-0.04088956,-0.6479721,-0.76077664,-0.036757503,Y
0.0,0.0,0.0,0.091167755,-0.26937738,0.009174513,0.12590669,-0.5518357,0.012435814,0.12044914,-0.7916957,0.015951537,0.16655062,-0.9561998,0.019438073,-0.07543521,-0.7076508,-0.024511464,-0.21795776,-0.73273975,0.004701856,-0.20957209,-0.61615664,0.032387815,-0.1646257,-0.54054594,0.046608333,-0.1982809,-0.6406548,-0.032607332,-0.33209455,-0.65530795,-0.004344067,-0.33117786,-0.5453387,0.010727708,-0.28622025,-0.48329166,0.009527581,-0.3032245,-0.52673984,-0.031820204,-0.4422592,-0.61094356,-0.025852885,-0.43133253,-0.5092937,-0.009538439,-0.37660712,-0.4393611,-0.0051013865,-0.39228457,-0.38932514,-0.026622938,-0.5243153,-0.56549513,-0.039412383,-0.616629,-0.6460662,-0.03119905,-0.6833002,-0.7297767,-0.022953404,Y
0.0,0.0,0.0,0.077235684,-0.26023063,0.0034420402,0.09452461,-0.5465003,-0.002108956,0.077593,-0.7850819,-0.009807656,0.1329627,-0.954392,-0.01693884,-0.091475956,-0.7248952,-0.03350632,-0.27804065,-0.7227582,-0.027987402,-0.26516175,-0.59163725,-0.015625823,-0.20360342,-0.51472837,-0.0088696545,-0.2041187,-0.65102315,-0.04698897,-0.37483862,-0.63541025,-0.045340076,-0.36289224,-0.51236784,-0.039820466,-0.30658838,-0.4519819,-0.04323635,-0.30324996,-0.5273162,-0.05438839,-0.47300106,-0.58507806,-0.06945126,-0.45933688,-0.46928445,-0.05621885,-0.3970801,-0.40068087,-0.049627017,-0.38871378,-0.37906688,-0.058780845,-0.5465708,-0.521033,-0.08504066,-0.6556372,-0.59054184,-0.08512873,-0.733587,-0.67470324,-0.08139844,Y
0.0,0.0,0.0,0.10481043,-0.2632076,-0.003676477,0.16415586,-0.5342874,-0.016024487,0.17774494,-0.77223206,-0.027372142,0.24073112,-0.9307338,-0.03690677,-0.052174516,-0.67509854,-0.03405274,-0.16811939,-0.7326309,-0.014618577,-0.15765345,-0.6232378,0.005459388,-0.12154757,-0.53748804,0.015964726,-0.17890762,-0.6188982,-0.03894813,-0.27671525,-0.6822321,-0.018819999,-0.26881897,-0.5762555,-0.011278161,-0.23320153,-0.50313044,-0.017200856,-0.28348815,-0.5256566,-0.03579077,-0.38481122,-0.6610767,-0.034385335,-0.36868426,-0.5648682,-0.021907898,-0.3245456,-0.47948438,-0.019714916,-0.3708777,-0.41525066,-0.029302325,-0.48505777,-0.6025315,-0.03838258,-0.5642435,-0.69204634,-0.02879545,-0.62604684,-0.7794942,-0.021310527,Y
0.0,0.0,0.0,0.12280558,-0.1825073,-0.0071025924,0.21235354,-0.41575003,-0.014156501,0.22769162,-0.6443352,-0.01779764,0.2808035,-0.7909798,-0.02012962,0.075168654,-0.64427984,-0.047956068,-0.09455857,-0.7142155,-0.031900384,-0.11202283,-0.60685444,-0.0065736854,-0.07977916,-0.5268291,0.01034324,-0.041604277,-0.6213089,-0.051404618,-0.19132823,-0.675512,-0.037921,-0.2135056,-0.572288,-0.028990805,-0.18213066,-0.50183886,-0.030129721,-0.15527193,-0.5560914,-0.04679062,-0.29156578,-0.6635095,-0.050755806,-0.3071637,-0.56964874,-0.039703332,-0.26754668,-0.49421245,-0.03508905,-0.26904002,-0.46562615,-0.03883078,-0.35934886,-0.6747026,-0.052516915,-0.42774892,-0.7817036,-0.04567617,-0.46724403,-0.88335717,-0.036920745,Y
0.0,0.0,0.0,0.12020241,-0.19039342,0.0017361214,0.18234155,-0.43444833,0.003993662,0.17409723,-0.65717393,0.0070112236,0.20774317,-0.8085981,0.0109213535,0.044929106,-0.6571047,-0.01856123,-0.088810265,-0.7184271,-0.004225429,-0.102972455,-0.6144641,0.007933292,-0.07060062,-0.5297899,0.014848144,-0.0792789,-0.63300574,-0.0251172,-0.20802191,-0.67233354,-0.006852021,-0.22815336,-0.5748317,-0.00297492,-0.19633798,-0.5027158,-0.008879295,-0.19547418,-0.5617471,-0.025899211,-0.31580284,-0.6484643,-0.02841661,-0.3281086,-0.55923325,-0.022519708,-0.2896317,-0.48264566,-0.022216404,-0.30044687,-0.46081465,-0.02276175,-0.40720627,-0.6482338,-0.03663295,-0.49092454,-0.7467888,-0.03103554,-0.5438992,-0.83881503,-0.023726806,Y
0.0,0.0,0.0,0.090878636,-0.25746304,0.015200908,0.12462499,-0.5343108,0.020546073,0.1184506,-0.7690611,0.023590669,0.15600637,-0.9318996,0.025230935,-0.05431457,-0.6850941,-0.018378057,-0.19366571,-0.70953655,0.0019326743,-0.19069715,-0.6041621,0.022824805,-0.1485506,-0.5270227,0.03469233,-0.17389373,-0.623222,-0.03145397,-0.31451282,-0.64014775,-0.011406234,-0.31943434,-0.5422227,-0.0026320047,-0.2781605,-0.47648287,-0.0071354853,-0.28037924,-0.5176797,-0.036699757,-0.423563,-0.5972264,-0.038166095,-0.42200434,-0.50660485,-0.028073354,-0.3737985,-0.43563148,-0.026947841,-0.3715525,-0.38795274,-0.03669279,-0.51520455,-0.55226815,-0.05406717,-0.6155107,-0.63825196,-0.050184805,-0.6866278,-0.72560906,-0.0450972,Y
0.0,0.0,0.0,0.031747434,-0.28581655,0.047262836,-0.011806421,-0.59702295,0.06316977,-0.054019548,-0.8260044,0.066696785,-0.039708804,-0.99245954,0.06548836,-0.15209754,-0.72363824,0.007375679,-0.3806472,-0.67458034,0.010967121,-0.36782402,-0.5319803,0.016399737,-0.293436,-0.43981966,0.023661315,-0.24638802,-0.64037204,-0.025745915,-0.443798,-0.5724031,-0.016399803,-0.42495462,-0.4439585,-0.014517735,-0.36037934,-0.3760169,-0.020684663,-0.33021143,-0.5051585,-0.0509013,-0.5252191,-0.4891179,-0.05186356,-0.50298256,-0.36637995,-0.039972607,-0.43423754,-0.3045002,-0.038033385,-0.40358326,-0.3397222,-0.06982841,-0.5929389,-0.452042,-0.0815828,-0.7192183,-0.50391346,-0.07659592,-0.8141702,-0.5761124,-0.07225979,Y
0.0,0.0,0.0,0.026425868,-0.2874239,0.010061819,-0.007069707,-0.5734218,0.003749041,-0.055238552,-0.8098763,-0.0055090883,-0.037535362,-0.99915135,-0.016960729,-0.19368012,-0.63990164,-0.02781895,-0.3543314,-0.6191867,-0.019338686,-0.32149133,-0.5223581,-0.008693419,-0.25792596,-0.46959248,-0.002641347,-0.2875239,-0.5249663,-0.04373637,-0.4255488,-0.52116907,-0.037062142,-0.39368832,-0.43197134,-0.036027957,-0.33455163,-0.3837082,-0.04342141,-0.36065853,-0.38100076,-0.052703686,-0.5058521,-0.42711458,-0.059153825,-0.47366673,-0.3493988,-0.052045163,-0.4086953,-0.30235913,-0.05290542,-0.41682577,-0.22806524,-0.0572358,-0.5902617,-0.3178633,-0.06944567,-0.7019078,-0.34003004,-0.06391012,-0.7916156,-0.37706807,-0.060112163,Y
0.0,0.0,0.0,0.08790977,-0.2725281,-0.0015567633,0.12395374,-0.5670248,-0.012386784,0.121911146,-0.81555825,-0.022878746,0.1721616,-0.98448193,-0.033997238,-0.08355694,-0.69504946,-0.04273733,-0.2315741,-0.72060084,-0.032491837,-0.21266201,-0.6160105,-0.020146798,-0.16047636,-0.54522926,-0.0126459785,-0.20758288,-0.61299914,-0.04906507,-0.32460395,-0.64831656,-0.032881264,-0.31504312,-0.548009,-0.028737187,-0.26985103,-0.4837637,-0.0365775,-0.30855948,-0.49608457,-0.04736337,-0.42752475,-0.5932929,-0.047760226,-0.4132947,-0.49912423,-0.038895246,-0.36192915,-0.4252718,-0.039136466,-0.39342403,-0.36551833,-0.041928787,-0.5277071,-0.5169081,-0.04769893,-0.6202213,-0.5758696,-0.03635458,-0.6905628,-0.6388706,-0.027760757,Y
0.0,0.0,0.0,0.10995491,-0.2608665,-0.016804343,0.17339757,-0.5419021,-0.03623474,0.18904942,-0.78196055,-0.0528177,0.25224638,-0.94547254,-0.06770843,-0.066262506,-0.69426334,-0.041900013,-0.16777405,-0.7356722,-0.031649712,-0.1475167,-0.63178086,-0.024652041,-0.108887784,-0.5482636,-0.020994145,-0.19734085,-0.62779087,-0.042574096,-0.27372622,-0.6851813,-0.022805743,-0.25998867,-0.5852127,-0.022816718,-0.22630471,-0.50954956,-0.03489653,-0.30261853,-0.5282823,-0.03682008,-0.37963,-0.6530044,-0.0349619,-0.35929683,-0.5634338,-0.028907709,-0.31889826,-0.47768584,-0.031783067,-0.3890151,-0.4153013,-0.029062474,-0.510633,-0.5942857,-0.0319199,-0.5890385,-0.6796475,-0.019177746,-0.6495368,-0.7602573,-0.010526826,Y
