l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.15250517,-0.029953327,-0.02411186,-0.2849614,-0.09650333,-0.05396269,-0.3915806,-0.1538463,-0.09485478,-0.40010142,-0.25157186,-0.13354954,-0.21067525,-0.42475316,0.00908325,-0.32362536,-0.4797669,-0.07100786,-0.3812271,-0.40156454,-0.14211084,-0.39577255,-0.30617306,-0.18034123,-0.16363356,-0.49610344,-0.018129481,-0.21882501,-0.70228237,-0.072966106,-0.29838032,-0.8087131,-0.118288875,-0.3701505,-0.88155603,-0.14476457,-0.09948514,-0.50941813,-0.05857343,-0.108512044,-0.7237302,-0.11016591,-0.14225428,-0.85962737,-0.14076602,-0.17427114,-0.97229725,-0.15578036,-0.036347922,-0.46867707,-0.103337094,0.027064448,-0.62852764,-0.14795232,0.06485236,-0.75173396,-0.16380009,0.0974723,-0.86670935,-0.16834596,O
0.0,0.0,0.0,-0.1437945,-0.014658515,-0.03796443,-0.27636883,-0.08140453,-0.07426235,-0.37336332,-0.14307515,-0.117908195,-0.38177857,-0.23379077,-0.15973581,-0.20650698,-0.4089903,-0.01930398,-0.31083414,-0.47143456,-0.10253843,-0.3617273,-0.3879923,-0.17045198,-0.3718995,-0.28882247,-0.20533696,-0.14764251,-0.48854935,-0.03982455,-0.19630921,-0.6891832,-0.09301459,-0.263151,-0.7949055,-0.13086963,-0.32720304,-0.8727069,-0.15196444,-0.070006624,-0.50561893,-0.074144624,-0.08203546,-0.71910703,-0.1310731,-0.11310755,-0.85774255,-0.16557446,-0.14281194,-0.972749,-0.18265873,0.007433911,-0.46149093,-0.112694375,0.07865798,-0.61572164,-0.166474,0.119412765,-0.738718,-0.18917719,0.15348312,-0.8536262,-0.19767354,O
0.0,0.0,0.0,-0.14341111,-0.041856196,-0.026869116,-0.2706273,-0.11736258,-0.05898033,-0.3711195,-0.17947263,-0.100814305,-0.3727541,-0.27230766,-0.14069816,-0.18554774,-0.43666288,-0.0025548772,-0.29320967,-0.501119,-0.086522795,-0.3524465,-0.42162004,-0.15983829,-0.3709352,-0.323745,-0.19903325,-0.13330297,-0.5014502,-0.027427133,-0.18243103,-0.7055518,-0.08525385,-0.25438726,-0.8123138,-0.13046683,-0.3212854,-0.8879337,-0.15579619,-0.0643836,-0.5090559,-0.06496377,-0.07049345,-0.7235143,-0.11957934,-0.10039126,-0.86134756,-0.15049462,-0.1286004,-0.9779526,-0.16453125,0.0023848815,-0.4620185,-0.10651171,0.07253586,-0.6197371,-0.15273218,0.11179611,-0.74277043,-0.1686383,0.14541855,-0.8607106,-0.17246035,O
0.0,0.0,0.0,-0.13986704,-0.055840768,-0.009895504,-0.25536132,-0.14159824,-0.034133032,-0.35444203,-0.20495607,-0.071987286,-0.36560944,-0.28949273,-0.10790898,-0.16251665,-0.448178,0.022397714,-0.2702261,-0.5189451,-0.05630385,-0.33442202,-0.45069224,-0.12802923,-0.35713735,-0.36042535,-0.16565983,-0.121181175,-0.5063328,-0.008881784,-0.1729122,-0.7086428,-0.05916581,-0.24230391,-0.81576663,-0.09896099,-0.30575743,-0.88986236,-0.121111475,-0.0644734,-0.51252466,-0.05272759,-0.07138395,-0.7353653,-0.096910335,-0.100367926,-0.8706509,-0.118424825,-0.12687232,-0.9837276,-0.12721464,-0.0119507555,-0.46842265,-0.10046514,0.051713206,-0.62715507,-0.13653749,0.08964984,-0.7461371,-0.14573878,0.12243493,-0.85990816,-0.14556353,O
0.0,0.0,0.0,-0.13924041,-0.060695868,-0.004942974,-0.2465104,-0.15550269,-0.029568424,-0.3434258,-0.21933776,-0.06844748,-0.3630194,-0.31464404,-0.10637227,-0.15525605,-0.45557296,0.031819038,-0.25979704,-0.53016144,-0.043637924,-0.329504,-0.45258737,-0.116511956,-0.36104342,-0.36180997,-0.15559396,-0.12276878,-0.49820212,-0.003138085,-0.1696143,-0.7083945,-0.046443675,-0.241558,-0.8095891,-0.08258266,-0.30931374,-0.8852253,-0.1042224,-0.077380344,-0.49399337,-0.05110722,-0.09154189,-0.71700805,-0.08816322,-0.12504157,-0.86167794,-0.109463215,-0.15666394,-0.9802414,-0.12076047,-0.04356401,-0.44480008,-0.10263203,-0.027473362,-0.6136267,-0.12892908,-0.03283564,-0.73744327,-0.1316939,-0.042193074,-0.8531899,-0.13035418,O
0.0,0.0,0.0,-0.14093016,-0.04492543,-0.020140043,-0.25876787,-0.14188623,-0.04504324,-0.35583043,-0.2127708,-0.0803753,-0.38123587,-0.30236873,-0.11419464,-0.16507389,-0.44344765,0.020205239,-0.2643458,-0.53231233,-0.05547562,-0.33362308,-0.47096628,-0.12420716,-0.3621401,-0.3858479,-0.15907998,-0.121240035,-0.50172323,-0.00506179,-0.17234378,-0.70458597,-0.04757207,-0.23834634,-0.8106192,-0.078428045,-0.29893783,-0.8915001,-0.09507482,-0.06023383,-0.51038253,-0.04488072,-0.07959972,-0.7233074,-0.08406676,-0.11027612,-0.8642335,-0.1026682,-0.13885131,-0.9841952,-0.10990968,-0.0032470012,-0.46977863,-0.08957205,0.018476972,-0.6399082,-0.11740143,0.026324676,-0.7613289,-0.119494,0.029868532,-0.87410325,-0.11593614,O
0.0,0.0,0.0,-0.1453278,-0.052566856,-0.016505223,-0.2716977,-0.1488793,-0.04415129,-0.37470144,-0.22598273,-0.08488221,-0.36311364,-0.3343432,-0.12121739,-0.17458211,-0.4524627,0.036944665,-0.26558778,-0.5620509,-0.038476605,-0.32914156,-0.48025608,-0.1081459,-0.3588054,-0.38186333,-0.1426567,-0.13257363,-0.5058258,0.012057795,-0.17491744,-0.72271806,-0.023725148,-0.23084846,-0.8361689,-0.050447665,-0.2804641,-0.9356016,-0.06518847,-0.07787724,-0.508192,-0.02841694,-0.09841355,-0.7235995,-0.0543509,-0.12907332,-0.86626697,-0.06012965,-0.15828459,-0.98557585,-0.059884854,-0.0325878,-0.46476957,-0.07529784,-0.03887026,-0.63282734,-0.087764695,-0.052673914,-0.75048983,-0.07746147,-0.06665321,-0.859885,-0.06596374,O
0.0,0.0,0.0,-0.14634328,-0.04030679,-0.027386313,-0.27914512,-0.13637024,-0.05825388,-0.3833737,-0.21507177,-0.099285275,-0.3695918,-0.32070586,-0.13616161,-0.18853663,-0.44413105,0.023757838,-0.28124905,-0.5439268,-0.055788826,-0.34460872,-0.46031028,-0.12795092,-0.3722773,-0.36030084,-0.16427721,-0.14358518,-0.49486986,0.0019742113,-0.19093597,-0.70993334,-0.036628332,-0.24803713,-0.8233171,-0.06459814,-0.2974222,-0.9192067,-0.08020804,-0.08420847,-0.49520904,-0.03660103,-0.110724896,-0.7081554,-0.06963608,-0.14173795,-0.8566727,-0.083488576,-0.17070737,-0.9813646,-0.08821805,-0.032993093,-0.4493538,-0.08178106,-0.043465473,-0.61836714,-0.10272641,-0.059014898,-0.7371399,-0.10012215,-0.075586475,-0.84709823,-0.094168976,O
0.0,0.0,0.0,-0.16339275,-0.07010784,0.048924785,-0.27551568,-0.16223562,0.05400361,-0.3778118,-0.21927108,0.036887165,-0.40349066,-0.30793953,0.022918688,-0.18646637,-0.4596613,0.09413299,-0.3031813,-0.53366333,0.035662595,-0.37576884,-0.45428964,-0.02762762,-0.41524005,-0.36929828,-0.059602097,-0.16026926,-0.48467675,0.043128625,-0.2583902,-0.6947977,0.026605602,-0.34004378,-0.798088,0.00691788,-0.40717244,-0.87707025,-0.0073656803,-0.13278124,-0.47206897,-0.018435337,-0.21071425,-0.7048694,-0.020913398,-0.26968154,-0.84020853,-0.015845656,-0.31520632,-0.9489099,-0.014659107,-0.12835045,-0.43600863,-0.08148768,-0.175577,-0.6083722,-0.08172877,-0.21046261,-0.7161163,-0.06823177,-0.2409533,-0.81159824,-0.05732291,O
0.0,0.0,0.0,-0.18651795,-0.08896861,0.18654239,-0.27327263,-0.16966753,0.27064297,-0.36935094,-0.22633995,0.3093558,-0.42584655,-0.3078057,0.3470394,-0.1681412,-0.45768103,0.27862504,-0.30306676,-0.5285641,0.30500257,-0.3734791,-0.44263604,0.3004338,-0.38921854,-0.35399124,0.30395675,-0.14176476,-0.49164903,0.1870541,-0.27379715,-0.6900512,0.2365527,-0.3724449,-0.7909735,0.2511136,-0.4366027,-0.8484406,0.2583902,-0.14390667,-0.47706768,0.094875515,-0.2537045,-0.70692736,0.14313966,-0.3376395,-0.8266409,0.18857297,-0.38753277,-0.89614,0.21622086,-0.18449849,-0.45597428,0.012492017,-0.25926623,-0.62955743,0.03779927,-0.30716696,-0.7316468,0.069008574,-0.3456494,-0.81402963,0.09546902,O
